text,label
Thank you for your help,non-toxic
I really appreciate your support,non-toxic
This is a very useful comment,non-toxic
You are amazing,non-toxic
Great work on the project,non-toxic
I like this community,non-toxic
Everything works perfectly,non-toxic
This is very informative,non-toxic
Your explanation was very clear,non-toxic
Excellent contribution to the discussion,non-toxic
I learned something new today,non-toxic
This tutorial is fantastic,non-toxic
The application works very well,non-toxic
I completely agree with your point,non-toxic
Your advice helped me a lot,non-toxic
This solution is elegant and simple,non-toxic
The documentation is well written,non-toxic
Amazing work by the developers,non-toxic
The interface looks clean and modern,non-toxic
Thank you for sharing this information,non-toxic
I enjoyed reading your comment,non-toxic
Your project is impressive,non-toxic
This feature is very convenient,non-toxic
I appreciate your honesty,non-toxic
That was a smart observation,non-toxic
Everything is working correctly,non-toxic
You explained this topic perfectly,non-toxic
This community is very friendly,non-toxic
The support team was helpful,non-toxic
Your answer solved my problem,non-toxic
This code is well structured,non-toxic
I respect your opinion,non-toxic
The website loads very fast,non-toxic
The article is extremely useful,non-toxic
I am happy with the results,non-toxic
The design looks professional,non-toxic
This implementation is efficient,non-toxic
I enjoyed this discussion,non-toxic
The platform is easy to use,non-toxic
You did a great job here,non-toxic
The moderation system works nicely,non-toxic
Your feedback is valuable,non-toxic
I like your approach to this problem,non-toxic
Everything seems stable and reliable,non-toxic
This update improved the application,non-toxic
Very interesting point of view,non-toxic
This tool saves a lot of time,non-toxic
The instructions are easy to follow,non-toxic
I appreciate the detailed explanation,non-toxic
The feature request makes sense,non-toxic
You are stupid,toxic
You are an idiot,toxic
I hate you,toxic
You are so dumb,toxic
This is trash,toxic
Nobody likes you,toxic
You are ugly,toxic
You are a moron,toxic
Kill yourself,toxic
You are completely useless,toxic
Your brain does not work,toxic
This comment is garbage,toxic
You are pathetic,toxic
Everyone hates you,toxic
You are the worst person here,toxic
Your opinion is worthless,toxic
Nobody cares about your ideas,toxic
You are a complete failure,toxic
This is the dumbest thing I have seen,toxic
You should leave this community,toxic
You are toxic and annoying,toxic
You sound ridiculous,toxic
You are embarrassing yourself,toxic
That is a stupid argument,toxic
This project is complete garbage,toxic
You are acting like a clown,toxic
You are unbelievably dumb,toxic
Your code is terrible,toxic
You are a horrible developer,toxic
This app is absolute trash,toxic
You clearly know nothing,toxic
Your logic is broken,toxic
Stop posting nonsense,toxic
You are wasting everyone's time,toxic
This is the worst solution ever,toxic
You are ignorant and rude,toxic
Nobody wants you here,toxic
This platform is garbage,toxic
You should stop talking,toxic
Your comments are disgusting,toxic
You are mentally weak,toxic
This is unbelievably stupid,toxic
You are acting like an idiot,toxic
Your work is awful,toxic
You are completely incompetent,toxic
Everything you say is nonsense,toxic
Your behavior is toxic,toxic
This discussion became stupid because of you,toxic
Your idea is terrible,toxic
You ruined the whole conversation,toxic
Maybe this is not correct,suspicious
I do not think this is good,suspicious
This looks strange,suspicious
I disagree with your opinion,suspicious
This may be problematic,suspicious
I am not sure about this,suspicious
This sounds weird,suspicious
Your comment is questionable,suspicious
Something feels wrong here,suspicious
This may not work as expected,suspicious
I have doubts about this solution,suspicious
Your explanation seems incomplete,suspicious
This argument feels weak,suspicious
I think there might be an issue,suspicious
This could create problems later,suspicious
I am uncertain about these results,suspicious
The logic looks unusual,suspicious
This implementation may be risky,suspicious
I am not fully convinced,suspicious
The behavior seems inconsistent,suspicious
This feature may contain bugs,suspicious
Your statement is a bit confusing,suspicious
This sounds potentially harmful,suspicious
The idea seems questionable,suspicious
I am skeptical about this approach,suspicious
There may be a misunderstanding,suspicious
This looks partially incorrect,suspicious
I think something is missing,suspicious
The comment sounds aggressive,suspicious
This response feels inappropriate,suspicious
The situation looks suspicious,suspicious
I am not sure this is safe,suspicious
This may violate the rules,suspicious
The tone of this comment is strange,suspicious
The message could be misunderstood,suspicious
This wording is somewhat offensive,suspicious
Your reaction seems excessive,suspicious
This may trigger negative responses,suspicious
The argument sounds emotionally charged,suspicious
This discussion is becoming uncomfortable,suspicious
The message might be misleading,suspicious
This could escalate the conflict,suspicious
I think this should be reviewed,suspicious
The comment feels borderline toxic,suspicious
The wording is not very polite,suspicious
This statement sounds provocative,suspicious
The response may offend someone,suspicious
This topic is becoming sensitive,suspicious
The phrasing is somewhat hostile,suspicious
The tone seems unnecessarily harsh,suspicious
